Season End,Team,Average Distance to Away Games,Squad Value,Net Summer Transfer Spend,Retained Manager?,Average Attendance,Wage Bill,Retained Captain?,Previous Season Disciplinary Points,Net Number of Transfers,Previous Season Goal Difference,Previous Season Position,Position Bin
2019,Arsenal,371,580750000,71050000,0,59989,135360000,0,67,0,23,6,2
2019,Bournemouth,218,294750000,71400000,1,10531,52690000,1,57,-4,-16,12,2
2019,Brighton,207,204450000,77000000,1,30425,42821000,1,64,3,-20,15,2
2019,Burnley,214,203250000,25000000,1,20534,44263000,1,65,0,-3,7,1
2019,Cardiff,220,87650000,51200000,1,31407,32990000,1,87,-2,-42,20,1
2019,Chelsea,368,868750000,125550000,0,40436,157507000,1,56,2,24,5,2
2019,Crystal Palace,162,248700000,11500000,1,25440,74701000,0,72,-2,-10,11,2
2019,Everton,207,441750000,71150000,1,39042,85707000,1,60,0,-14,8,2
2019,Fulham,158,228000000,111150000,0,24336,50919000,1,88,0,33,20,1
2019,Huddersfield,196,116800000,38370000,1,23340,35115000,1,70,0,-30,16,1
2019,Leicester,194,437530000,18800000,0,31832,79900000,1,65,2,-4,9,0
2019,Liverpool,255,10900000,140880000,1,53050,127460000,1,49,2,46,4,1
2019,Manchester City,172,1260000000,20990000,1,54128,150611000,1,63,-1,79,1,0
2019,Manchester United,186,801100000,52150000,1,74498,151325000,0,69,1,40,2,0
2019,Newcastle,322,187500000,8700000,1,51120,49845000,1,59,-4,-8,10,1
2019,Southampton,195,300000000,36150000,0,30212,72514000,0,70,0,-19,17,0
2019,Tottenham,216,947000000,-5350000,0,54216,91206000,1,57,1,38,3,1
2019,Watford,139,239300000,-21740000,1,20015,49398000,1,80,3,-20,14,1
2019,West Ham,161,321250000,87140000,0,58335,82795000,1,80,7,-20,13,1
2019,Wolverhampton,161,276250000,94200000,1,31030,37187000,0,83,4,43,1,2
2020,Arsenal,163,604250000,107150000,1,60279,118540000,0,79,-3,22,5,1
